,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
5483,"First of all, your mother is @bongbongmarcos",0.0,0.0,1.0,0.0,Neutral
5484,@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 m i n d a n a o !!!👇🏾😀https: //t.co/GFV0T8CGEU,0.0,0.0,1.0,0.0,Neutral
5485,"@cel_Durante @bagbongmarcos did you share the billiones he got in Marcos?Bkt d i have a new hospital of the building ??Buti p c pduterte has finished, pro yellow what is the n projects completed?Is that toilet without a division?Yun bridge n wl started b?",0.083,0.0,0.917,0.4871,Positive
5486,@bagbongmarcos 🤢👹,0.0,0.0,1.0,0.0,Neutral
5487,@gmanews @mannypacquiao @bagbongmarcos we must learn to look closely before giving the support to make no mistake!Just suggest,0.239,0.097,0.664,0.4926,Positive
5488,@___shesthatgirl @bagbongmarcos Lord pls win Papz ... 😭😭😭,0.459,0.0,0.541,0.6249,Positive
5489,"@datuinno @cel_Durante @bagbongmarcos wow who are you BIR po you overpowered the BIR ah😀e did you ask if Cory had confiscated that grandson's wealth of granddaughter?Where are those billiones when did you say that you took Marcos?BKT D used to develop country ,!? Bkt says pinoy wl money? Bkt borrowed?",0.143,0.062,0.795,0.686,Positive
5490,"The Federal Party of the Philippines General Counsel Atty.George Briones will increase the support of @bangbongmarcos and Mayor @indaysara in the upcoming 2022 election for endorseing the PDP-Laban.💚❤️✌️👊

""",0.235,0.0,0.765,0.7717,Positive
5491,@Brainplease101 @closermaldita @GracedisGrace @bagbongmarcos really?Work your child!It says?You just want to be the government.,0.131,0.0,0.869,0.2387,Positive
5492,@EmmilsPedro @alterpanabo69 @GracedisGrace @bagbongMarcos do they want to be relied on the government?🤣🤣,0.098,0.0,0.902,0.0772,Positive
5493,@___shesthatgirl @bagbongmarcos the black hand he meant.Clawed though his hands.On top of other hands.,0.294,0.0,0.706,0.6124,Positive
5494,"@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 even nup #LenikikikoLTheway support!Evidence 👇🏾😀
https://t.co/EatxFilmhj",0.0,0.0,1.0,0.0,Neutral
5495,@mistyme20 @bagbongmarcos,0.0,0.0,1.0,0.0,Neutral
5496,@Brainplease101 @GracedisGrace @bagbongmarcos 18 yrs old na..abay na voter na yan..you must be either studying or working.Do you care about that day care?,0.234,0.0,0.766,0.7506,Positive
5497,@zerolevigutz @Closadarwin @GracedisGrace @bagbongMarcos 😁😂🤣😅 They die of,0.0,0.358,0.642,-0.5994,Negative
5498,@lurkerstalker @GracedisGrace @bagbongMarcos really?What suggestions do you have?How much do you do not know in another country that is the practices..then your mother's idea is great?Personals but when you want to get ahead of the queue.,0.054,0.0,0.946,0.2477,Positive
5499,@gmanews @senimeemarcos @bagbongmarcos like a circus show ba yan?🤣,0.263,0.0,0.737,0.3612,Positive
5500,"@GracedisGrace @bagbongmarcos thing to yung @mo.""Disgrace"" https://t.co/ddhtplqjpw",0.0,0.0,1.0,0.0,Neutral
5501,@EmmilsPedro @alterpanabo69 @GracedisGrace @bagbongMarcos why do you just have to care for?What kind of thinking is that?You are feeling very privileged..you are not the only child of God.Then don't have a child if you can't take care of it.Interesting to things that cannot stand..s its brains,0.164,0.0,0.836,0.8053,Positive
5502,@zerolevigutz @closadarwin @gracedisgrace @bongbongmarcos,0.0,0.0,1.0,0.0,Neutral
5503,@bagbongmarcos thank you Mr.President for visiting the place nmin.,0.238,0.0,0.762,0.3612,Positive
5504,"Oh ayan na mga beh !!Confirmed and not edited!Your brain is pure edit nakuuuu.
💚❤️🇵🇭 @bagbongmarcos @rrd_davao
#BBM2022

https://t.co/cdtgeh3kuw",0.0,0.0,1.0,0.0,Neutral
5505,@GracedisGrace @bagbongmarcos what's your trip?Give you a nanny?Feeling privileged the sister.Do you have a solution to think ..share you again..you know a lot about public service right?,0.207,0.0,0.793,0.6946,Positive
5506,@Scottrod__ @GracedisGrace @altabscbn @bagbongmarcos what do you want all to do with that government?Do you really need daycare centers for parents who don't have their children while they are at work try to do research so you know what bongbong means here don't be stupid,0.087,0.0,0.913,0.4724,Positive
5507,@GracedisGrace @bagbongmarcos nabash ka tuloy co-army!Stupid case of your post 🥱.Think b4 u click 😉,0.0,0.0,1.0,0.0,Neutral
5508,@GracedisGrace @bagbongMarcos when you are stupid,0.0,0.405,0.595,-0.5267,Negative
5509,"@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 huh?I know that Lenlen will endorse it because he is angry at Alvarez.Don't endorse Uniteam.I've watched GMA, c Mama Mink is endorsed.No problem.Small thing.There are still 3 explosions that Uniteam is coming.This is not a concern",0.107,0.077,0.816,0.0772,Positive
5510,I don't want to be beaten plssssss a little delicadeza if no big delicadeza @bagbongmarcos @iskomoreno @saraduterte_ @iampinglacson,0.0,0.314,0.686,-0.607,Negative
5511,@GracedisGrace @bagbongMarcos you look like you don't know the public service hahahahahahaha try to go abroad so you know why daycare center and still have a feeding program for his platform for solo parent don't be stupid ha hahahahaha,0.125,0.048,0.827,0.5007,Positive
5512,"@Mj__mondejar @bagbongmarcos @smninews @dzar1026 Opportunists they are!They go for the thief and lie because they want to make it easy for themselves to do (Monkey) business.Whoever thinks that unity will create jobs, eliminate corruption, stop the pandemic, attract investors and bring economic recovery, etc?!",0.201,0.105,0.694,0.4738,Positive
5513,@GracedisGrace @bongbongmarcos Animal well tangena MP!BOBO!,0.349,0.0,0.651,0.3987,Positive
5514,@Politiko_ph @bagbongmarcos @leifbilly 💚❤️,0.0,0.0,1.0,0.0,Neutral
5515,"Exactly, if there is a foil in the election eh supported survey ... style rotten!@bagbongmarcos @saraduterte_ @iampinglacson @iskomoreno",0.139,0.0,0.861,0.3802,Positive
5516,@Brainplease101 @GracedisGrace @bagbongMarcos This is another Siraulo.What do you expect from the government all?Kilos huyy,0.0,0.0,1.0,0.0,Neutral
5517,@Closadarwin @winstonpaciole2 @GracedisGrace @bagbongmarcos why is it just because of BBM.about solo.parent ..haha..dmi complain eh,0.0,0.152,0.848,-0.3612,Negative
5518,@GracedisGrace @bagbongMarcos you are just a horse but you know what bongbong means you can only tweet what hahahahahaha trend to research te,0.0,0.0,1.0,0.0,Neutral
5519,@GracedisGrace @bongbongmarcos myghaaad !!You are so ignorant hahahahahaha don't you know that in Japan they leave their children at the daycare center so they can work very stupid jusko and what do you want Bongbong to do?They just rely on the government's gift?,0.083,0.169,0.748,-0.6573,Negative
5520,@GracedisGrace @bongbongmarcos Gabinpok ka girl.I feel sorry for you.🤣😅,0.0,0.14,0.86,-0.0772,Negative
5521,@bagbongmarcos I love you so much you can win.Let's pray for you,0.419,0.0,0.581,0.7579,Positive
5522,"No promises but suarez banks on uniteam win for release of marcos-era coco levy

#20222elections #2022Polls #bagbongMarcos #cocolevy

Read here: https://t.co/zkr5kknoqn https://t.co/m9kwllvduy",0.254,0.058,0.688,0.7506,Positive
5523,"'Here is the receipt': Karen Davila spotted at Marcos JR’s campaign sortie
https://t.co/3rhts6VVQ6
#MarcosJRSCAMPAIGNSORTIE
@iamkarendavila
@bagbongmarcos
#Resibo https://t.co/RLTV8RJXP5",0.0,0.0,1.0,0.0,Neutral
5524,@Thimotypogi @brentbestb0i @gracedisgrace @bagbongmarcos because the video question is not ...Imagine both BBM supporter you do not understand.It is said that the answer is obvious to Erwin Tulfo that he also said he was the answer.,0.057,0.0,0.943,0.2732,Positive
5525,@Abscbnnews @lenirobredo @wenacos yung during saf44 eh in carshow ba yon ??BongbongMarcos finished there to sympathize.Hayssss 🤦🤦🤦 #bagbongmarcos #saraduterte #bbmsara,0.0,0.0,1.0,0.0,Neutral
5526,@m1nesweeper @GracedisGrace @bagbongmarcos nah.When VP Leni answers and does not ask the question you tell her she is porridge.But now do we have excuses?He answered the question far.We are stuck in the idea of being a child when the question does not pertain to it.Bka did not read the expanded solo parents act.,0.0,0.038,0.962,-0.25,Negative
5527,@Sally36263108 @Paulsoriano1017 @bongbongmarcos hahhahahaha more miserable sya if melai smells of breath,0.0,0.241,0.759,-0.5413,Negative
5528,@MARYANCIADO @Paulsoriano1017 @bagbongmarcos uy with smart apple,0.31,0.0,0.69,0.4019,Positive
5529,"Mama Meldy said: God Divine Justice
@bagbongmarcos
@Sandromarcos7
@LanguageGhonog https://t.co/W3EFAP7AXF",0.565,0.0,0.435,0.8442,Positive
5530,@nikkynicsalayay @skylerjedd @paulsoriano1017 @bongbongmarcos hahahahahahakhakot you face Taena Pikit nalang,0.0,0.0,1.0,0.0,Neutral
5531,@GracedisGrace @bagbongMarcos 😉my countries are really daycare that children can leave in support of the government's parents n single parent😁😂🤣,0.129,0.057,0.813,0.3612,Positive
5532,@bagbongmarcos https://t.co/voykme3p7x,0.0,0.0,1.0,0.0,Neutral
5533,@bagbongMarcos https://t.co/0jzzzz9F857,0.0,0.0,1.0,0.0,Neutral
5534,@gmanews @mannypacquiao @bagbongmarcos super bitter the blend of coffee manny and yorme.Lol,0.234,0.168,0.599,0.2732,Positive
5535,"Comelec says pending disqualification cases against Ferdinand Marcos Jr resolved by late April and most.#NLE2022 @MalayNews

📸: @bagbongmarcos https://t.co/lajuoddyyb",0.086,0.0,0.914,0.1779,Positive
5536,@ohhhmymymyy @brentbestb0i @gracedisgrace @bagbongmarcos because he said neo in the reply neo hndi the son of a solo parent means you have something else to do.So what is the government and the child has grown up,0.0,0.0,1.0,0.0,Neutral
5537,@GracedisGrace @bagbongMarcos you are so stupid!You're so stupid.,0.0,0.416,0.584,-0.7174,Negative
5538,"Presidential candidate senator @mannypacquiao on Thursday acknowledged raising the hand of @bangbongmarcos in 2010 in the latter's senatorial run, but said the presidency is a different matter.

https://t.co/PGOZ73NNDP",0.115,0.0,0.885,0.3071,Positive
5539,@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 You stayed leading Pops and Mayor Sara ❤️💚👊✌️🍔,0.0,0.0,1.0,0.0,Neutral
5540,@bagbongmarcos Solid Bbm,0.444,0.0,0.556,0.1531,Positive
5541,"Cabayao am: Abayy .. !!just kidding .. i can jan .. 😅😂 i finished 16 episodes of cardo pure in just 1 day .. no bed ..basic😂🇵🇭
@bagbongmarcos

@Sandromarcos7 https://t.co/QBQWR5FWSU",0.048,0.095,0.857,-0.3365,Negative
5542,@bagbongmarcos https://t.co/FPD28L1NI3,0.0,0.0,1.0,0.0,Neutral
5543,"@gmanews @senimeemarcos @bagbongmarcos of course .., 💰🤭",0.0,0.0,1.0,0.0,Neutral
5544,@bagbongmarcos ✌️✌️✌️👊👊💚💚💚❤️❤️❤️,0.0,0.0,1.0,0.0,Neutral
5545,@EmmilsanPedro @alterpanabo69 @GracedisGrace @bagbongmarcos hahahaha ambobo nyo kamampink.Promise.Addle-brained,0.0,0.0,1.0,0.0,Neutral
5546,@GracedisGrace @bagbongmarcos hahahaha pakabobo mo naman.Elite is really a Leni Supporter.Bobo,0.0,0.0,1.0,0.0,Neutral
5547,"@___shesthatgirl @bagbongmarcos we all love him & amp;Would love to be able to go near & amp;Touch him, but please don't be too “giggle.”

@bagbongmarcos has to be healthy & amp;Strong.

Let's love w/ respect & amp;even fr a distance.Just hook it up first.

Anyway, we have 6 years to swoon & amp;Shower him with all our love.",0.384,0.0,0.616,0.9825,Positive
5548,@Brainplease101 @GracedisGrace @bagbongmarcos haha r u thinking?to the h.s and college what bbm said is to give scholarships..haha i laugh ..,0.292,0.0,0.708,0.765,Positive
5549,@aintr1cia @jeanandrs @brainplease101 @GracedisGrace @bagbongMarcos if you tweet you are selling you you probably have a racket and earn.Don't be lazy.Wag choosy.,0.0,0.0,1.0,0.0,Neutral
5550,Always be careful.🙏@BongbongMarcos,0.0,0.0,1.0,0.0,Neutral
5551,"@GracedisGrace @bagbongMarcos You girl are the worst, the stupid, the fool.Hope you know how the Day Care Center and Feeding Program helps solo parents.Or do you just know that the lazy of other solo parents is so lazy that you want to be helpful?I will repeat, you are stupid",0.111,0.248,0.641,-0.8689,Negative
5552,"@ohhhmymymyy @GracedisGrace @bagbongmarcos I've seen the video.Even if his response didn't satisfy her, it doesn't mean it's wrong.I don't understand why it's being ridiculed, when it makes perfect sense.The one who asked the question was asking for subsidies, free tuition is one of them.daycare services can be another.",0.125,0.089,0.786,0.4624,Positive
5553,"Shout out to @bongbongmarcos, close April, are you ready for itr2021?You may not file, shame.🤣🤣🤣",0.152,0.0,0.848,0.3612,Positive
5554,"It's so good, let's win this !! ✌🏽❤💚
#BBMFIPRAPRATION
#BongbongMarcos2022
@Sandromarcos7
@bagbongmarcos
-ctto https://t.co/7KKK3MNHIKO",0.395,0.0,0.605,0.8334,Positive
5555,@GracedisGrace @bagbongmarcos Boba Boba You are the one who knows the public service you are a girl !!!You will be able to keep it in the canal and to be poured out for it to breathe !!!!!!,0.0,0.0,1.0,0.0,Neutral
5556,"Hahahahaha grabe laughs i reach heaven😂😂
@bagbongMarcos https://t.co/9TIJZOBAX9",0.462,0.0,0.538,0.5106,Positive
5557,@GracedisGrace @bagbongmarcos Boba !!You are the one who knows nothing,0.0,0.0,1.0,0.0,Neutral
5558,?,0.0,0.0,0.0,0.0,Neutral
5559,@Marife63084474 @scottrod__ @GracedisGrace @altabscbn @bagbongmarcos like people purely aid.BBM is not going to say the platform that the government has promoted of course you will think of others and add.,0.159,0.0,0.841,0.6486,Positive
5560,This early I'm feeling nostalgic after @sapbonggo announced the meeting that went on between @bagbongmarcos & amp;Pres.Duterte @uniteam_ph.at last we are going to witness an unprecedented transition.bangon again! @Ancalerts @COMELEC @cbcp @gmanews,0.056,0.0,0.944,0.2003,Positive
5561,@GracedisGrace @bagbongmarcos hey kupal if you complain when you can contribute to the pineapple you can only tell me to keep you quiet.,0.0,0.102,0.898,-0.3612,Negative
5562,@GracedisGrace @bagbongmarcos is nothing funny.You may just be crazy .. A Government Funded Daycare Center and Feeding Program is especially important to solo parents who can't get a nanny .. especially if the solo parent has a job .. maybe you are the Filipino who relies on assistance!,0.044,0.056,0.9,-0.1528,Negative
5563,"I'm a pup, and @bongbongmarcos is the hassle in the Philippines for me.💚❤️🐯✌️ https://t.co/MPTULVYRBC",0.0,0.0,1.0,0.0,Neutral
5564,@Beff397 @GracedisGrace @bagbongmarcos Anderson.Spraak read that comment that you are not impotent!,0.161,0.0,0.839,0.2746,Positive
5565,@bagbongmarcos ❤️💚🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭,0.0,0.0,1.0,0.0,Neutral
5566,@GracedisGrace @bagbongmarcos very stupid you!That's your support for the Kapampink!Think that is the solution abroad solo parent and very helpful!Boba!Tanga!Addle-brained!Pwdeee,0.23,0.137,0.633,0.3559,Positive
5567,"@GracedisGrace @bagbongmarcos wow!We both had my wife, our children in day care.The foundation, no gadgets, the children, praying, dancing, singing, reading, arts etc.It's just a waste of time",0.079,0.166,0.755,-0.4199,Negative
5568,"Meeting Pang.Duterte and @bangbongMarcos, 'Cordial' and 'Productive' - Malacañang

https://t.co/3B7JPSB1jg",0.0,0.0,1.0,0.0,Neutral
5569,@GracedisGrace @bagbongMarcos I'm not cheap but tell you too!Don't think that you need a solo parent!,0.0,0.0,1.0,0.0,Neutral
5570,@Thimotypogi @Brentbestb0i @GracedisGrace @bagbongMarcos Ask you to ask and Erwin Tulfo.Because they also asked BBM again the question which shows that they are not enough and not swak in the context of his answer.🙄 fellow BBM supporter nyo nman eh.Try nyo sya understand.,0.046,0.059,0.895,-0.1536,Negative
5571,@bagbongmarcos me and my family support you bbm..you love you,0.463,0.0,0.537,0.7845,Positive
5572,"@Beff397 @GracedisGrace @bagbongMarcos is your reply 'solution', but don't acknowledge it because they want problems always.😁",0.076,0.187,0.737,-0.4767,Negative
5573,@___shesthatgirl @zachzamiel @bagbongmarcos let that man who did be given proper teachings! This is not a joke anymore.😤,0.0,0.12,0.88,-0.2914,Negative
5574,"@GracedisGrace @bagbongMarcos The single mom un Day Care and Feeding Program is more likely to cost a lot because of milk, vaccines, diapers and vitamins.Instead of the old child, the mother can work full time and part time with an older child.",0.074,0.0,0.926,0.4939,Positive
5575,"@cannstbesilence @m1nesweeper @GracedisGrace @bagbongMarcos actually discounts at private school tuition cluld be possible ... said that free should ???You know the video of your fellow BBM supporter who asked.He has a sense of question.Hope you understand too.""Another program"" is his question.",0.135,0.0,0.865,0.7131,Positive
5576,@bagbongmarcos in Cebu when?,0.0,0.0,1.0,0.0,Neutral
5577,@bagbongmarcos Solid Bbm,0.444,0.0,0.556,0.1531,Positive
5578,@GracedisGrace @bagbongMarcos ka BBM when you are patient with the camp.It's a bit shallow to think.The camps really want them to do nothing and have a weekly allowance.Sometimes you can think about it.Educated but stupid,0.035,0.125,0.84,-0.649,Negative
5579,@Bebimo74 @bingcatrocks @___shesthatgirl @bagbongmarcos yun security should alert.,0.434,0.0,0.566,0.5574,Positive
5580,@EmmilsanPedro @alterpanabo69 @GracedisGrace @bongbongmarcos hahahaha true b to ganto pala supporter k ni… .. contagious,0.283,0.139,0.578,0.3612,Positive
5581,@m1nesweeper @GracedisGrace @bagbongmarcos honestly I only have two children of my son but I have the money to get a daily if I have something to walk.At that time the hardships take a nanny to be trusted.,0.17,0.0,0.83,0.7311,Positive
5582,"@GracedisGrace @bagbongmarcos hahaha you are a great booogoook !! BOOBBAAA!Helleer in Singapore, childcare centers is the only choice of single mothers, so as the working parents.Love to have a nanny and it's hard to trust..bbm is right!Go for that kind of centers.Okay? Booba!",0.184,0.029,0.787,0.858,Positive
5583,@imaprinesa @GracedisGrace @bagbongMarcos Agree,0.455,0.0,0.545,0.3612,Positive
5584,@prue888 @bingcatrocks @___shesthatgirl @bagbongmarcos grabeee hope not to shake hands.,0.356,0.0,0.644,0.5296,Positive
5585,@___shesthatgirl @bagbongmarcos excess ... 😢😢😢,0.0,0.0,1.0,0.0,Neutral
5586,@Fhqjackie @bagbongmarcos sometimes because it also csi c leni so cguro ngpink din c bbm ✌️✌️,0.0,0.0,1.0,0.0,Neutral
5587,@Ivybaudel2 @GracedisGrace @bagbongMarcos Agree,0.455,0.0,0.545,0.3612,Positive
5588,@Bebimo74 @bingcatrocks @___shesthatgirl @bagbongmarcos yep as if I could see something really nail.,0.167,0.0,0.833,0.296,Positive
5589,@gmanews @senimeemarcos @bagbongmarcos waaw speed of abduction of town,0.0,0.322,0.678,-0.5859,Negative
5590,@jen_hidalz @bagbongmarcos,0.0,0.0,1.0,0.0,Neutral
5591,"@bagbongmarcos Sing heat of sling, rambutan sweets
Quezon's love for Uniteam!",0.461,0.0,0.539,0.8268,Positive
5592,"I love you pops
@Sandromarcos7
@bagbongmarcos
@LanguageGhong https://t.co/Wetbjvsgbh",0.412,0.0,0.588,0.6369,Positive
5593,@___shesthatgirl @bagbongmarcos hays .... he just can't shake hands,0.159,0.0,0.841,0.1326,Positive
5594,@GracedisGrace @bagbongMarcos 1% nlng po kau mga kapampinksiving,0.0,0.34,0.66,-0.5574,Negative
5595,@GracedisGrace @prettypig_ @bagbongmarcos You never thought single moms need a little child than the big kids.Can the program be done focusing only with an adult child?You also think before you react.Bka later you will experience it and learn.,0.0,0.0,1.0,0.0,Neutral
5596,@prue888 @bingcatrocks @___shesthatgirl @bagbongmarcos they meant you in the video.,0.0,0.0,1.0,0.0,Neutral
5597,@Brainplease101 @GracedisGrace @bagbongmarcos aids ata it likes it.😂 Weekly do you like ???You taught me lazy and hopeful to gov your son 18y/o na 😂,0.289,0.079,0.632,0.7677,Positive
5598,@audrey_snow05 @_darkershade @rubysto73911118 @ordalatsgh_ @oslecjunior @jaicabajar @lenirobredo @bagbongmarcos so fake president also gongdi for your accusation?,0.0,0.3,0.7,-0.7177,Negative
5599,"@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 In the truth, let's be fooled!Evidence!👇🏾😀
https://t.co/2eistuyebm",0.208,0.0,0.792,0.4374,Positive
5600,@datuinno @cel_Durante @bagbongMarcos return to all the wealth of Marcos before paying estate taxow,0.198,0.0,0.802,0.4939,Positive
5601,"Senator Christopher “Bong” Go confirmed the meeting of President Rodrigo Duterte and the presidential aspirant Bongbong Marcos and the chief executive allegedly shared his approach to running the country.

Read: https://t.co/sejefs1jqy https://t.co/xklizja2qo",0.072,0.0,0.928,0.34,Positive
5602,@GracedisGrace @prettypig_ @bagbongmarcos general questioning for a single mom.So BBM asked what it needed.Am a single mom of 3yr old boy.U cannot anticipate that all ages are children.It is especially difficult for a single mom who is young and not a raising partner.,0.0,0.102,0.898,-0.4927,Negative
5603,"I'm happy! ❤💚✌👊
@bagbongMarcos https://t.co/SAUOGNN3XW",0.499,0.0,0.501,0.6114,Positive
5604,"WORDS BY @BongbongMarcos ♥ ️💚
If your making your anger enemies, 6our doing a good job.

Learn how to distance your self from others, but instead of that give them a longest smile😊 https://t.co/BKLPMuyyvz",0.057,0.129,0.814,-0.3612,Negative
5605,@kraiven45 @m1nesweeper @GracedisGrace @bagbongmarcos nega lang,0.0,0.0,1.0,0.0,Neutral
5606,"@bagbongmarcos get ready Pasig ... let's take a walk at Metrowalk, Ortigas on April 3 ✌️✌️✌️",0.161,0.0,0.839,0.3612,Positive
5607,"@Ajayriah66 @GracedisGrace @bagbongmarcos no need to scream, hahahahh",0.0,0.45,0.55,-0.5994,Negative
5608,@bagbongmarcos @bamaquino @rodhuelgas,0.0,0.0,1.0,0.0,Neutral
5609,@Missmarisracal girl but @bongbongmarcos my president ❤️❤️❤️💚💚💚,0.0,0.0,1.0,0.0,Neutral
5610,"@bagbongmarcos @maine_worldwide whoever read the softdrinks to BBM in the caravan in Quezon, tea, that will not win your candidate.You just don't know that the people of Quezon are ashamed of what you did.Whether you are a candidate or not, you have the right to hurt or read.💪",0.0,0.179,0.821,-0.8615,Negative
5611,"Pang.Duterte, advice to Presidential Candidate @bagbongMarcos, https://t.co/BB2WaceCch",0.0,0.0,1.0,0.0,Neutral
5612,@Brainplease101 @iamamyr14 @GracedisGrace @bagbongMarcos so there is no need for your mindset.If you work well then you just rely on the government.You are embarrassed by the infant and toddlers.😣,0.064,0.15,0.786,-0.4336,Negative
5613,"Presidential Candidate @bagbongMarcos, endorsed by @NationalUNITYP1 https://t.co/UEVT721U3M",0.25,0.0,0.75,0.25,Positive
5614,@Brainplease101 @GracedisGrace @bagbongmarcos jusko gungong ka rin naman pala.18yrs old your son is the program for those mom who is looking for life and no children can leave.Brain first before horse stupid,0.0,0.157,0.843,-0.6808,Negative
5615,"@TheBuzzSpeaks @rapplerdotcom @josephbamarzan reality is - all these presidentiables are eating @bagbongmarcos dust in the polls.Unless they all throw their support behind one - there's nothing stopping a looming BBM landslide.Even mainstream media is anti-Marcos and yet, he is so far ahead.",0.133,0.0,0.867,0.5445,Positive
5616,@prue888 @rihou_18 @bagbongmarcos yes loyalist forever 😍❤️,0.51,0.0,0.49,0.6369,Positive
5617,@GracedisGrace @bagbongMarcos basically you have no idea.You don't even know what the program can do.Find out first before you can 🤭,0.0,0.104,0.896,-0.296,Negative
5618,@gmanews @senimeemarcos @bagbongmarcos https://t.co/p4nsaalav1,0.0,0.0,1.0,0.0,Neutral
5619,"@___shesthatgirl @rihou_18 @bagbongmarcos yes, should continue support.",0.519,0.0,0.481,0.6597,Positive
5620,@prue888 @rihou_18 @bagbongmarcos diba 😍 I also have 6 years to celebrate 😍,0.316,0.0,0.684,0.5719,Positive
5621,"@GracedisGrace @bagbongmarcos Pagyasa You have not been to the United Kingdom, you never know that is one of the helps while mothers find a living.You know nothing.https://t.co/9xyhzkmy7e",0.184,0.0,0.816,0.6597,Positive
5622,@Bebimo74 @bingcatrocks @___shesthatgirl @bagbongmarcos,0.0,0.0,1.0,0.0,Neutral
5623,"Leni focused on the ruin of both running for president while Bong Bong Marcos is focused for the future of the Philippines, is that your future president ???That's it ??#Notolenikiko2022",0.167,0.103,0.731,0.3313,Positive
5624,@___shesthatgirl @rihou_18 @bagbongmarcos is the duration of the june 30 jusko i want to sit down with bbm,0.075,0.0,0.925,0.0772,Positive
5625,@GracedisGrace @bongbongmarcos boba lang? hahaha,0.474,0.0,0.526,0.5574,Positive
5626,@GracedisGrace @bagbongMarcos isn't the daycare center and feeding program good?Especially are you a single parent and you have nothing to leave with a child to find life?🙂 SKL ✌,0.057,0.0,0.943,0.1301,Positive
5627,"@aintr1cia @jeanandrs @brainplease101 @GracedisGrace @bagbongMarcos work, that's a-dyaan.If you are selected, you have nothing to do with it.What are you looking for at work?Is that easy?Spoon-fed?I found a job at the age of 16 as part-timer, what could be the other excuse?Until you know, I don't stop learning for level up.",0.056,0.0,0.944,0.4306,Positive
5628,"@ohhhmymymyy @m1nesweeper @GracedisGrace @bagbongmarcos mamsh is there no free tuition jan at state universities?Do you also want free tuition at private schools for fun?What do you want free cellphone, laptoo from the government?You bark.Please check solo parent act.",0.276,0.047,0.677,0.8702,Positive
5629,"@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 unity ba?Evidence of real unity!👇🏾😀
https://t.co/i7z5Sve6um",0.0,0.0,1.0,0.0,Neutral
5630,"Then its going to be a landslide victory for @bangbongmarcos - possibly even bigger than the 1998 Margin won by Estrada.The Philippines is clamoring for something that BBM is selling and @inquiredotnet's explanation is ""misinformation"".Ugh.",0.104,0.0,0.896,0.5719,Positive
5631,@prue888 @rihou_18 @bagbongmarcos diba a little bit hurry up what .. tired of our president!It's still 6 years old.,0.0,0.166,0.834,-0.4926,Negative
5632,".

https://t.co/m5xjls0ocr",0.0,0.0,1.0,0.0,Neutral
5633,@___shesthatgirl @rihou_18 @bagbongmarcos un security by bbm should have adjustments because more incidents e,0.167,0.0,0.833,0.34,Positive
5634,"@lurkerstalker @ladyshai15 @GracedisGrace @bagbongmarcos as a working single mom, I will never hope my son's future to the government.We already have the Solo Parent Act.Do you know how powerful the solo parent ID is?Regarding about the older kids of single parents, we already have free tuitions in state universities.Hay naku",0.114,0.045,0.841,0.571,Positive
5635,"@aintr1cia @jeanandrs @brainplease101 @gradedisgrace @bagbongmarcos to us we accept undergrad just up for the challenge to work hard shempre, maybe you're just choosy?Send me a CV if it is related to your course.",0.114,0.041,0.845,0.3612,Positive
5636,And also - no other opponent is connecting as well as @bagbongmarcos message to the electorate.@lenirobredo seems to Languish far behind in second place and her attacks on BBM are clearly not working.If the VP cannot convince the other candidates to step down and support her,0.141,0.128,0.731,0.168,Positive
5637,@bagbongmarcos 👊✌️💚❤️,0.0,0.0,1.0,0.0,Neutral
5638,@PhilstarNews this is really @bangbongmarcos.Hey we are not a thief.It's because of that normal work.Tounge your mother!😂,0.0,0.0,1.0,0.0,Neutral
5639,"@gmanews @bagbongmarcos Olatz Len Len, soho and klabyu",0.0,0.0,1.0,0.0,Neutral
5640,I don't buy this misinformation thing.I think its disingenuous to attribute social media posts to the wide lead enjoyed by @bagbongmarcos in the polls.I too struggle to understand this large lead - I think Filipinos are clamoring and aligning more to the BBM campaign (1),0.07,0.104,0.826,-0.1593,Negative
5641,@aintr1cia @jeanandrs @brainplease101 @GracedisGrace @bagbongMarcos You really are the villain in today's vidyow,0.0,0.244,0.756,-0.5945,Negative
5642,@GracedisGrace @bagbongMarcos you don't know so keep quiet,0.0,0.0,1.0,0.0,Neutral
5643,@aintr1cia @jeanandrs @brainplease101 @GracedisGrace @bagbongMarcos I know 16 y.O.He was only in grade five but found a job.It is only a point that you should be strategic in life.Don't be lazy.😊,0.0,0.0,1.0,0.0,Neutral
5644,"Do I think you have no intention of running for President this year?Because you know that deserving to sit is Bong Bong Marcos, hahaha joke time yarns?#BagbongFurpressident #LenlenLoser",0.19,0.068,0.742,0.6072,Positive
5645,@DefendersOfTru2 @Kevangelista24 @PhilstarNews @Paulsorianano1017 @bagbongmarcos @imeemarcos2 @save_video,0.0,0.0,1.0,0.0,Neutral
